[10/3/2013 0:45:57] /town aracura
[10/3/2013 0:46:18] /down
[10/3/2013 0:46:29] /a
[10/3/2013 0:46:32] /a 3
[10/3/2013 0:46:51] /town quendor
[10/3/2013 0:47:52] /town thorn
[10/3/2013 0:48:8] /a 6
[10/3/2013 0:49:24] /town aaragon
[10/3/2013 0:49:27] /a 4
[10/3/2013 0:49:27] /a 4
[10/3/2013 0:49:27] /a 4
[10/3/2013 0:49:27] /a 4
[10/3/2013 0:49:28] /a 4
[10/3/2013 0:49:28] /a 4
[10/3/2013 0:49:28] /a 4
[10/3/2013 0:49:28] /a 4
[10/3/2013 0:49:29] /a 4
[10/3/2013 0:49:29] /a 4
[10/3/2013 0:49:29] /a 4
[10/3/2013 0:49:29] /a 4
[10/3/2013 0:49:30] /a 4
[10/3/2013 0:49:31] /a 4
[10/3/2013 0:49:32] /a 4
[10/3/2013 0:49:32] /a 4
[10/3/2013 0:49:32] /a 4
[10/3/2013 0:49:34] /a 4
[10/3/2013 0:49:34] /a 4
[10/3/2013 0:49:34] /a 4
[10/3/2013 0:49:36] /a 4
[10/3/2013 0:49:36] /a 4
[10/3/2013 0:49:36] /a 4
[10/3/2013 0:49:36] /a 4
[10/3/2013 0:49:37] /a 4
[10/3/2013 0:49:37] /a 4
[10/3/2013 0:49:37] /a 4
[10/3/2013 0:49:38] /a 4
[10/3/2013 0:49:38] /a 4
[10/3/2013 0:49:38] /a 4
[10/3/2013 0:49:39] /a 4
[10/3/2013 0:49:48] /i crystal coin
[10/3/2013 0:50:9] /town salazart
[10/3/2013 0:50:10] /a 4
[10/3/2013 0:50:10] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:11] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:12] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:13] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:14] /a 4
[10/3/2013 0:50:15] /a 4
[10/3/2013 0:50:15] /a 4
[10/3/2013 0:50:16] /a 4
[10/3/2013 0:50:16] /a 4
[10/3/2013 0:50:16] /a 4
[10/3/2013 0:50:16] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:17] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:18] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:19] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:20] /a 4
[10/3/2013 0:50:21] /a 4
[10/3/2013 0:50:21] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:22] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:23] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:24] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:25] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:26] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:27] /a 4
[10/3/2013 0:50:28] /a 4
[10/3/2013 0:50:28] /a 4
[10/3/2013 0:50:28] /a 4
[10/3/2013 0:50:29] /a 4
[10/3/2013 0:50:29] /a 4
[10/3/2013 0:50:29] /a 4
[10/3/2013 0:50:29] /a 4
[10/3/2013 0:50:30] /a 4
[10/3/2013 0:50:30] /a 4
[10/3/2013 0:50:30] /a 4
[10/3/2013 0:50:31] /a 4
[10/3/2013 0:50:31] /a 4
[10/3/2013 0:50:32] /a 4
[10/3/2013 0:50:32] /a 4
[10/3/2013 0:50:32] /a 4
[10/3/2013 0:50:33] /a 4
